Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1rfofaqEpACxVEHIZBJe6W,"4nDoRrQiYLoBzwC5BhVJzF,50co4Is1HCEo8bhOyUWKpn","Havana (feat. Young Thug)","Camila","Camila Cabello,Young Thug",2018-01-12,217306,81,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"dance pop,pop,atl hip hop,atl trap,gangster rap,melodic rap,rap,trap",0.765,0.523,2,-4.333,1,0.03,0.184,0.0000356,0.132,0.394,104.988,4
6rPO02ozF3bM7NnOV4h6s2,"4V8Sr092TqfHkfAA5fXXqG,4VMYDCV2IEDYJArk749S6m,1uNFoZAHBGtllmzznpCI3s","Despacito - Remix","Despacito Feat. Justin Bieber (Remix)","Luis Fonsi,Daddy Yankee,Justin Bieber",2017-04-17,228826,73,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"latin pop,puerto rican pop,latin hip hop,reggaeton,trap latino,urbano latino,canadian pop,pop",0.653,0.816,2,-4.353,1,0.167,0.228,0,0.0967,0.816,178.085,4
7mldq42yDuxiUNn08nvzHO,"2kucQ9jQwuD8jWdtR9Ef38","Body Like A Back Road","Body Like A Back Road","Sam Hunt",2017-02-01,165386,73,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"contemporary country,country,country pop",0.732,0.458,5,-7.225,1,0.0311,0.447,0,0.136,0.661,98.938,4
1bhUWB0zJMIKr9yVPrkEuI,"6eUKZXaKkcviH0Ku9w2n3V,6vWDO969PvNqNYHIOW5v0m","Perfect Duet (Ed Sheeran & Beyoncé)","Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran,Beyoncé",2017-11-30,259550,73,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"pop,uk pop,dance pop,r&b",0.587,0.299,8,-7.365,1,0.0263,0.779,0,0.123,0.356,94.992,3
7iDa6hUg2VgEL1o1HjmfBn,"64M6ah0SkkRsnPGtGiRAbb,3b8QkneNDz4JHKKKlLgYZg","Meant to Be (feat. Florida Georgia Line)","All Your Fault: Pt. 2","Bebe Rexha,Florida Georgia Line",2017-08-11,163870,76,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"dance pop,pop,contemporary country,country,country pop,country road,modern country rock",0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,4
09IStsImFySgyp0pIQdqAc,"2qxJFvFYMEDqd7ui6kSAcq,6WY7D3jk8zTrHtmkqqo5GI,4lDBihdpMlOalxy1jkUbPl","The Middle","The Middle","Zedd,Maren Morris,Grey",2018-01-23,184732,81,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"complextro,edm,german techno,pop,pop dance,classic texas country,contemporary country",0.753,0.657,7,-3.061,1,0.0449,0.171,0,0.112,0.437,107.01,4
7qiZfU4dY1lWllzX7mPBI3,"6eUKZXaKkcviH0Ku9w2n3V","Shape of You","÷ (Deluxe)","Ed Sheeran",2017-03-03,233712,88,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"pop,uk pop",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,4
0KKkJNfGyhkQ5aFogxQAPU,"0du5cEVh5yTK9QJze8zA0C","That's What I Like","24K Magic","Bruno Mars",2016-11-17,206693,85,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"dance pop,pop",0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,4
6RUKPb4LETWmmr3iAEQktW,"69GGBxA162lTqCwzJG5jLp,4gzpq5DPGxSnKTe4SA8HAU","Something Just Like This","Memories...Do Not Open","The Chainsmokers,Coldplay",2017-04-07,247160,86,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"electropop,pop,tropical house,permanent wave",0.617,0.635,11,-6.769,0,0.0317,0.0498,0.0000144,0.164,0.446,103.019,4
7BKLCZ1jbUBVqRi2FVlTVw,"69GGBxA162lTqCwzJG5jLp,26VFTg2z8YR0cCuwLzESi2","Closer","Closer","The Chainsmokers,Halsey",2016-07-29,244960,86,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"electropop,pop,tropical house,etherpop,indie poptimism",0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,4
0pqnGHJpmpxLKifKRmU6WP,"53XhwfbYqKCa1cC15pYq2q","Believer","Evolve","Imagine Dragons",2017-06-23,204346,89,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"modern rock,pop,rock",0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,4
50kpGaPAhYJ3sGmk6vplg0,"1uNFoZAHBGtllmzznpCI3s","Love Yourself","Purpose (Deluxe)","Justin Bieber",2015-11-13,233720,85,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"canadian pop,pop",0.609,0.378,4,-9.828,1,0.438,0.835,0,0.28,0.515,100.418,4
09CtPGIpYB4BrO8qb1RGsF,"1uNFoZAHBGtllmzznpCI3s","Sorry","Purpose (Deluxe)","Justin Bieber",2015-11-13,200786,83,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"canadian pop,pop",0.654,0.76,0,-3.669,0,0.045,0.0797,0,0.299,0.41,99.945,4
1zi7xx7UVEFkmKfv06H8x0,"3TVXtAsR1Inumwj472S9r4,3tVQdUvClmAT7URs9V3rsp,77DAFfvm3O9zT5dIoG0eIO","One Dance","Views","Drake,Wizkid,Kyla",2016-05-06,173986,88,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap,afro dancehall,afropop,azonto,azontobeats,nigerian hip hop,nigerian pop,uk funky",0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,4
3CRDbSIZ4r5MsZ0YwxuEkn,"3YQKmKGau1PzlVlkL1iodx","Stressed Out","Blurryface","Twenty One Pilots",2015-05-15,202333,87,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"modern rock,pop,rock",0.734,0.637,4,-5.677,0,0.141,0.0462,0.0000229,0.0602,0.648,169.977,4
4sPmO7WMQUAf45kwMOtONw,"4dpARuHxo51G3z768sgnrY","Hello","25","Adele",2016-06-24,295493,0,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"british soul,pop,pop soul,uk pop",0.481,0.451,5,-6.095,0,0.0347,0.336,0,0.0872,0.289,157.966,4
1i1fxkWeaMmKEB4T7zqbzK,"69GGBxA162lTqCwzJG5jLp,6Dd3NScHWwnW6obMFbl1BH","Don't Let Me Down","Don't Let Me Down","The Chainsmokers,Daya",2016-02-05,208373,82,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"electropop,pop,tropical house,alt z",0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803,4
1WkMMavIMc4JZ8cfMmxHkI,"31TPClRtHm23RisEBtV3X7","CAN'T STOP THE FEELING! (from DreamWorks Animation's TROLLS)","TROLLS (Original Motion Picture Soundtrack)","Justin Timberlake",2016-09-23,237546,75,spotify:user:zjur95tfefoqoz2t1kcea8ahk,2023-01-15T23:15:01Z,"dance pop,pop",0.669,0.832,0,-5.721,1,0.0682,0.0106,0,0.0968,0.7,113.035,4
